country,totals
US,54504
France,22093
Italy,19540
Spain,6645
Portugal,5691
Chile,4472
Argentina,3800
Austria,3345
Australia,2329
Germany,2165
New Zealand,1419
South Africa,1401
Israel,505
Greece,466
Canada,257
Hungary,146
Bulgaria,141
Romania,120
Uruguay,109
Turkey,90
Slovenia,87
Georgia,86
England,74
Croatia,73
Mexico,70
Moldova,59
Brazil,52
Lebanon,35
Morocco,28
Peru,16
Ukraine,14
Czech Republic,12
Macedonia,12
Serbia,12
Cyprus,11
India,9
Switzerland,7
Luxembourg,6
Bosnia and Herzegovina,2
Armenia,2
Egypt,1
China,1
Slovakia,1